bookID,title
39922,the sorcerer's companion: a guide to the magical world of harry potter
45181,the definitive harry potter guide book series: bk. 1: the philosopher's stone
3484,harry potter and the sorcerer's stone coloring adventures: hogwarts school (with a collectible cutout character and a glowing magic wand)
2896,harry potter stationery kit
43867,the science of harry potter: how magic really works
47603,harry potter and the goblet of fire (score)
28903,harry potter & the prisoner of azkaban
40136,sorcerer's son
11206,harry potter sticker book: flying at hogwarts
35226,the sorcerer's ship
