title,authors,average_rating,ratings_count
The Complete Calvin and Hobbes,Bill Watterson,4.82,32213
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78,41428
It's a Magical World (Calvin and Hobbes  #11),Bill Watterson,4.76,23875
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73,28242
Early Color,Saul Leiter/Martin Harrison,4.73,144
Homicidal Psycho Jungle Cat (Calvin and Hobbes #9),Bill Watterson,4.72,15365
Elliott Erwitt: Snaps,Murray Sayle/Charles Flowers/Elliott Erwitt,4.72,102
Calvin and Hobbes: Sunday Pages 1985-1995: An Exhibition Catalogue,Bill Watterson,4.71,3613
Study Bible: NIV,Anonymous,4.7,4166
The Complete Aubrey/Maturin Novels (5 Volumes),Patrick O'Brian,4.7,1338
